createdAt,side,liquidity,type,market,price,size,fee
"2023-07-27T04:35:25.802Z","SELL","TAKER","MARKET","SOL-USD","25.141","59","0.563661"
"2023-07-27T04:35:25.802Z","SELL","TAKER","MARKET","SOL-USD","25.141","70","0.66875"
"2023-07-27T04:35:25.802Z","SELL","TAKER","MARKET","SOL-USD","25.142","19.9","0.190123"
"2023-07-27T04:35:25.802Z","SELL","TAKER","MARKET","SOL-USD","25.146","139.7","1.3349"
"2023-07-27T04:35:25.802Z","SELL","TAKER","MARKET","SOL-USD","25.149","242","2.312702"
"2023-07-27T02:30:54.418Z","BUY","TAKER","MARKET","SOL-USD","24.762","1599.8","15.053414"
"2023-07-27T02:30:54.418Z","BUY","TAKER","MARKET","SOL-USD","24.76","120","1.129056"
"2023-07-27T02:30:54.418Z","BUY","TAKER","MARKET","SOL-USD","24.759","74.6","0.701868"
"2023-07-27T02:30:54.418Z","BUY","TAKER","MARKET","SOL-USD","24.758","445","4.186577"
"2023-07-27T02:30:54.418Z","BUY","TAKER","MARKET","SOL-USD","24.755","44.5","0.418607"
"2023-07-27T02:30:54.418Z","BUY","TAKER","MARKET","SOL-USD","24.751","9.7","0.091232"
"2023-07-27T02:30:54.418Z","BUY","TAKER","MARKET","SOL-USD","24.751","750.6","7.059678"
"2023-07-27T02:30:54.418Z","BUY","TAKER","MARKET","SOL-USD","24.75","404","3.79962"
"2023-07-27T02:30:54.418Z","BUY","TAKER","MARKET","SOL-USD","24.748","44.1","0.414726"
"2023-07-27T02:30:54.418Z","BUY","TAKER","MARKET","SOL-USD","24.748","116.8","1.098415"
"2023-07-27T02:30:54.418Z","BUY","TAKER","MARKET","SOL-USD","24.747","2","0.018807"
"2023-07-27T02:30:54.418Z","BUY","TAKER","MARKET","SOL-USD","24.746","40","0.376139"
"2023-07-27T02:30:54.418Z","BUY","TAKER","MARKET","SOL-USD","24.745","44.5","0.418437"
"2023-07-27T02:30:54.418Z","BUY","TAKER","MARKET","SOL-USD","24.744","202.4","1.90311"
"2023-07-27T02:30:54.418Z","BUY","TAKER","MARKET","SOL-USD","24.742","200.4","1.884152"
"2023-07-27T02:30:54.418Z","BUY","TAKER","MARKET","SOL-USD","24.742","202.3","1.902016"
"2023-07-27T02:30:54.418Z","BUY","TAKER","MARKET","SOL-USD","24.739","204.7","1.924347"
"2023-07-27T02:30:54.418Z","BUY","TAKER","MARKET","SOL-USD","24.738","101","0.949444"
"2023-07-27T02:30:54.418Z","BUY","TAKER","MARKET","SOL-USD","24.738","40.4","0.379777"
"2023-07-27T02:30:54.418Z","BUY","TAKER","MARKET","SOL-USD","24.738","101","0.949444"
"2023-07-27T02:30:54.418Z","BUY","TAKER","MARKET","SOL-USD","24.738","11.8","0.110925"
"2023-07-27T02:30:54.418Z","BUY","TAKER","MARKET","SOL-USD","24.737","40.4","0.379762"
"2023-07-27T02:30:54.418Z","BUY","TAKER","MARKET","SOL-USD","24.737","70","0.658004"
"2023-07-27T02:30:54.418Z","BUY","TAKER","MARKET","SOL-USD","24.736","70","0.657977"
"2023-07-27T02:30:54.418Z","BUY","TAKER","MARKET","SOL-USD","24.736","60","0.56398"
"2023-07-26T23:40:42.192Z","BUY","TAKER","MARKET","AVAX-USD","13.25","389.2","1.959622"
"2023-07-26T23:40:42.192Z","BUY","TAKER","MARKET","AVAX-USD","13.25","1068.3","5.37889"
"2023-07-26T23:40:42.192Z","BUY","TAKER","MARKET","AVAX-USD","13.24","151.1","0.760214"
"2023-07-26T23:40:42.192Z","BUY","TAKER","MARKET","AVAX-USD","13.24","377","1.896762"
"2023-07-26T23:40:42.192Z","BUY","TAKER","MARKET","AVAX-USD","13.24","70.4","0.354196"
"2023-07-26T23:40:42.192Z","BUY","TAKER","MARKET","AVAX-USD","13.24","52.3","0.263131"
"2023-07-26T23:40:42.192Z","BUY","TAKER","MARKET","AVAX-USD","13.24","67","0.33709"
"2023-07-26T23:40:42.192Z","BUY","TAKER","MARKET","AVAX-USD","13.24","83.1","0.418092"
"2023-07-26T23:40:42.192Z","BUY","TAKER","MARKET","AVAX-USD","13.24","755.5","3.801071"
"2023-07-26T23:40:42.192Z","BUY","TAKER","MARKET","AVAX-USD","13.24","4273.5","21.500833"
"2023-07-26T23:40:42.192Z","BUY","TAKER","MARKET","AVAX-USD","13.24","232.7","1.17076"
"2023-07-26T23:40:42.192Z","BUY","TAKER","MARKET","AVAX-USD","13.24","750","3.7734"
"2023-07-26T23:40:42.192Z","BUY","TAKER","MARKET","AVAX-USD","13.24","60","0.301872"
"2023-07-26T23:40:42.192Z","BUY","TAKER","MARKET","AVAX-USD","13.24","82.8","0.416583"
"2023-07-26T23:40:42.192Z","BUY","TAKER","MARKET","AVAX-USD","13.24","254.7","1.281446"
"2023-07-26T23:40:42.192Z","BUY","TAKER","MARKET","AVAX-USD","13.24","226","1.137051"
"2023-07-26T23:40:42.192Z","BUY","TAKER","MARKET","AVAX-USD","13.24","802.1","4.035525"
"2023-07-26T23:40:42.192Z","BUY","TAKER","MARKET","AVAX-USD","13.24","1068.3","5.37483"
"2023-07-26T23:40:42.192Z","BUY","TAKER","MARKET","AVAX-USD","13.24","693.7","3.490143"
"2023-07-26T23:40:42.192Z","BUY","TAKER","MARKET","AVAX-USD","13.24","201.2","1.012277"
"2023-07-26T23:40:42.192Z","BUY","TAKER","MARKET","AVAX-USD","13.23","300","1.50822"
"2023-07-26T23:40:42.192Z","BUY","TAKER","MARKET","AVAX-USD","13.23","776","3.901262"
"2023-07-26T23:40:42.192Z","BUY","TAKER","MARKET","AVAX-USD","13.23","215.3","1.082399"
"2023-07-26T23:40:42.192Z","BUY","TAKER","MARKET","AVAX-USD","13.23","257.6","1.295058"
"2023-07-26T23:40:42.192Z","BUY","TAKER","MARKET","AVAX-USD","13.23","30.2","0.151827"
"2023-07-26T23:40:42.192Z","BUY","TAKER","MARKET","AVAX-USD","13.23","1068.3","5.370771"
"2023-07-26T23:40:42.192Z","BUY","TAKER","MARKET","AVAX-USD","13.23","693.7","3.487507"
"2023-07-26T21:14:50.280Z","SELL","TAKER","MARKET","AVAX-USD","13.39","72.8","0.37042"
"2023-07-26T21:14:50.280Z","SELL","TAKER","MARKET","AVAX-USD","13.39","67","0.340909"
"2023-07-26T21:14:50.280Z","SELL","TAKER","MARKET","AVAX-USD","13.39","1487.5","7.568697"
"2023-07-26T21:14:50.280Z","SELL","TAKER","MARKET","AVAX-USD","13.39","743.7","3.784094"
"2023-07-26T21:14:50.280Z","SELL","TAKER","MARKET","AVAX-USD","13.39","42.4","0.215739"
"2023-07-26T21:14:50.280Z","SELL","TAKER","MARKET","AVAX-USD","13.39","693.7","3.529684"
"2023-07-26T21:14:50.280Z","SELL","TAKER","MARKET","AVAX-USD","13.39","1068.3","5.435724"
"2023-07-26T21:14:50.280Z","SELL","TAKER","MARKET","AVAX-USD","13.39","745.2","3.791726"
"2023-07-26T21:14:50.280Z","SELL","TAKER","MARKET","AVAX-USD","13.39","255.7","1.301052"
"2023-07-26T21:14:50.280Z","SELL","TAKER","MARKET","AVAX-USD","13.39","9.1","0.046302"
"2023-07-26T21:14:50.280Z","SELL","TAKER","MARKET","AVAX-USD","13.4","750","3.819"
"2023-07-26T21:14:50.280Z","SELL","TAKER","MARKET","AVAX-USD","13.4","97.7","0.497488"
"2023-07-26T21:14:50.280Z","SELL","TAKER","MARKET","AVAX-USD","13.4","743.7","3.78692"
"2023-07-26T21:14:50.280Z","SELL","TAKER","MARKET","AVAX-USD","13.4","310","1.57852"
"2023-07-26T21:14:50.280Z","SELL","TAKER","MARKET","AVAX-USD","13.4","310","1.57852"
"2023-07-26T21:14:50.280Z","SELL","TAKER","MARKET","AVAX-USD","13.4","223","1.135516"
"2023-07-26T21:14:50.280Z","SELL","TAKER","MARKET","AVAX-USD","13.4","211.5","1.076958"
"2023-07-26T21:14:50.280Z","SELL","TAKER","MARKET","AVAX-USD","13.4","4273.5","21.760662"
"2023-07-26T21:14:50.280Z","SELL","TAKER","MARKET","AVAX-USD","13.4","82.1","0.418053"
"2023-07-26T21:14:50.280Z","SELL","TAKER","MARKET","AVAX-USD","13.4","693.7","3.53232"
"2023-07-26T21:14:50.280Z","SELL","TAKER","MARKET","AVAX-USD","13.4","275.2","1.401318"
"2023-07-26T21:14:50.280Z","SELL","TAKER","MARKET","AVAX-USD","13.4","1068.3","5.439783"
"2023-07-26T21:14:50.280Z","SELL","TAKER","MARKET","AVAX-USD","13.4","775.9","3.950882"
"2023-07-26T18:47:38.566Z","SELL","TAKER","MARKET","SOL-USD","25.439","296.2","2.863312"
"2023-07-26T18:47:38.566Z","SELL","TAKER","MARKET","SOL-USD","25.441","787","7.608385"
